supplier_id,supplier_name,email
1,"Alexander, Copeland and Smith",christopherpearson@example.net
2,Wu Ltd,crystal27@example.org
3,"Dixon, Johnston and Gregory",xtapia@example.net
4,Martinez-Vasquez,amber91@example.com
5,Hernandez-Cook,ipatterson@example.org
6,Ingram-White,ortizchristopher@example.com
7,Page-Mccoy,garrettdarrell@example.org
8,"Best, Werner and Clark",dennisgarcia@example.net
9,James Inc,qmontoya@example.org
10,Freeman and Sons,desireeballard@example.com
11,"Fitzgerald, Walsh and Williams",ylee@example.org
12,Wilcox-Ramirez,andrewhurley@example.net
13,"Davis, Underwood and Hernandez",melaniemejia@example.com
14,Lamb Group,benjamin10@example.com
15,"Reid, Morgan and Smith",felicia71@example.org
16,Gutierrez-Carrillo,trevorbrown@example.net
17,"Flores, Fields and Harris",wmiller@example.org
18,Gonzales Group,jnguyen@example.com
19,"House, Price and Casey",nathan81@example.net
20,"Crawford, Finley and Collins",coopermatthew@example.com
21,Guzman-Graves,emily68@example.net
22,Bowers-Munoz,xcurry@example.org
23,Baker-Jackson,tyoung@example.org
24,"Howard, Conner and Jones",noblemonique@example.net
25,"Robinson, Rice and Robinson",uprice@example.org
26,"Norris, Gomez and Davis",ashleypaul@example.org
27,Ruiz-Booker,andrew32@example.net
28,Freeman-Contreras,cflores@example.org
29,Kim LLC,ilawrence@example.net
30,"Dyer, Thompson and White",zduran@example.com
31,"Neal, Henry and Curry",jonessamantha@example.net
32,"Suarez, Ruiz and Hubbard",iyu@example.net
33,"Guzman, Romero and Cummings",dennis08@example.org
34,Perez-Smith,larrykim@example.com
35,"Richards, Rosales and Davis",doyleamber@example.org
36,White LLC,brownamanda@example.com
37,Lee-Smith,markdavis@example.com
38,"Stevens, Huff and Steele",bartonjessica@example.net
39,"Cooper, Flowers and Williams",rivasernest@example.com
40,Thornton Inc,feliciadavis@example.net
41,Bell-Sparks,scottchelsea@example.org
42,"Cline, Torres and Poole",jacksonjessica@example.org
43,Payne Group,joseph84@example.org
44,Bautista Inc,bradleyjohnson@example.org
45,Beck and Sons,lopezadam@example.com
46,Jones-Hall,walkerhailey@example.org
47,Griffin Group,tbaker@example.org
48,"Taylor, Thomas and Williams",fhunter@example.org
49,"Olson, Stanley and Carter",christina63@example.org
50,Phillips and Sons,stephennelson@example.net
